Id;downloaded_image_name;image_name;url;image type;hallucination type;l1;l2;l3
0;image_0;cd805349-6a4a-415a-862f-3b600ec47290.png;https://midjourney-image.s3.amazonaws.com/cd805349-6a4a-415a-862f-3b600ec47290.png;generated;false premises;people;artifacts;body
1;image_1;awei_Three_cats_wearing_human_tunics_playing_Tai_Chi_in_a_court_ab45c05f-6256-4583-ac25-b1d71b2767dc.png;https://midjourney-image.s3.amazonaws.com/awei_Three_cats_wearing_human_tunics_playing_Tai_Chi_in_a_court_ab45c05f-6256-4583-ac25-b1d71b2767dc.png;generated;false premises;animals;plants;construction
2;image_2;cc356dca-8593-4314-afd5-70008bfe4c0c.png;https://midjourney-image.s3.amazonaws.com/cc356dca-8593-4314-afd5-70008bfe4c0c.png;generated;insufficient context;people;artifacts;construction
3;image_3;bf2a1f0c-ce90-4b8d-b425-c5ac4910b7cf.png;https://midjourney-image.s3.amazonaws.com/bf2a1f0c-ce90-4b8d-b425-c5ac4910b7cf.png;generated;false premises;nature;artifacts;nature
4;image_4;af74a92f-8597-410e-b185-ad37fe1c1956.png;https://midjourney-image.s3.amazonaws.com/af74a92f-8597-410e-b185-ad37fe1c1956.png;generated;false premises;animals;animals;artifacts
5;image_5;a0a2f988-5a13-44ce-82bf-daf941a8da59.png;https://midjourney-image.s3.amazonaws.com/a0a2f988-5a13-44ce-82bf-daf941a8da59.png;generated;false premises;people;nature;plants
6;image_6;YetiGoose_big_iguana_bully_who_thinks_he_is_the_toughest_in_the_7552af68-5872-4b96-bc41-38b60cb0f19e.png;https://midjourney-image.s3.amazonaws.com/YetiGoose_big_iguana_bully_who_thinks_he_is_the_toughest_in_the_7552af68-5872-4b96-bc41-38b60cb0f19e.png;generated;false premises;animals;people;artifacts
7;image_7;a79fe442-6801-44c1-a16f-9c5355c2d506.png;https://midjourney-image.s3.amazonaws.com/a79fe442-6801-44c1-a16f-9c5355c2d506.png;generated;false premises;artifacts;artifacts;accessories
8;image_8;c14c7239-51fc-4b9f-a0ed-b28b5aa55b18.png;https://midjourney-image.s3.amazonaws.com/c14c7239-51fc-4b9f-a0ed-b28b5aa55b18.png;generated;false premises;people;people;artifacts
9;image_9;bc9c3787-0d12-4865-8182-a857c09ea5ae.png;https://midjourney-image.s3.amazonaws.com/bc9c3787-0d12-4865-8182-a857c09ea5ae.png;generated;false premises;people;people;people
10;image_10;VB7_a_Astronaut_The_office_was_filled_with_clouds_reading_on_to_514597c5-2514-45e1-8d8d-a318901975aa.png;https://midjourney-image.s3.amazonaws.com/VB7_a_Astronaut_The_office_was_filled_with_clouds_reading_on_to_514597c5-2514-45e1-8d8d-a318901975aa.png;generated;insufficient context;people;nature;vehicles
11;image_11;bd426d1b-8903-4d24-9038-ccf188ac8760.png;https://midjourney-image.s3.amazonaws.com/bd426d1b-8903-4d24-9038-ccf188ac8760.png;generated;false premises;people;plants;nature
12;image_12;ab45c05f-6256-4583-ac25-b1d71b2767dc.png;https://midjourney-image.s3.amazonaws.com/ab45c05f-6256-4583-ac25-b1d71b2767dc.png;generated;false premises;animals;plants;construction
13;image_13;_A_female_elementary_school_student_in_a_sci-fi_and_futuristic__cc356dca-8593-4314-afd5-70008bfe4c0c.png;https://midjourney-image.s3.amazonaws.com/_A_female_elementary_school_student_in_a_sci-fi_and_futuristic__cc356dca-8593-4314-afd5-70008bfe4c0c.png;generated;false premises;people;artifacts;construction
14;image_14;a9851da8-309c-425a-8829-7dd80284aebc.png;https://midjourney-image.s3.amazonaws.com/a9851da8-309c-425a-8829-7dd80284aebc.png;generated;false premises;insects;artifacts;animals
15;image_15;a73f5e48-81f8-49df-9f09-7dc58f11f12d.png;https://midjourney-image.s3.amazonaws.com/a73f5e48-81f8-49df-9f09-7dc58f11f12d.png;generated;false premises;people;people;people
16;image_16;bc501291-0755-4628-aab0-3582038892d8.png;https://midjourney-image.s3.amazonaws.com/bc501291-0755-4628-aab0-3582038892d8.png;generated;false premises;people;people;artifacts
17;image_17;adventures_at_Maku_pixar_white_cat_with_blue_eyes_hugging_a_sma_30ac1385-263c-49cb-b36c-8c3db44c18bd.png;https://midjourney-image.s3.amazonaws.com/adventures_at_Maku_pixar_white_cat_with_blue_eyes_hugging_a_sma_30ac1385-263c-49cb-b36c-8c3db44c18bd.png;generated;false premises;animals;artifacts;plants
18;image_18;a21166ca-f919-4c19-8c6c-647eef65f0f3.png;https://midjourney-image.s3.amazonaws.com/a21166ca-f919-4c19-8c6c-647eef65f0f3.png;generated;false premises;people;artifacts;artifacts
19;image_19;adventures_at_Maku_pixar_super_hero_flying_small_brown_monkey_j_b8648170-cd79-438e-8ff1-b5072deae58d.png;https://midjourney-image.s3.amazonaws.com/adventures_at_Maku_pixar_super_hero_flying_small_brown_monkey_j_b8648170-cd79-438e-8ff1-b5072deae58d.png;generated;false premises;animals;artifacts;plants
20;image_20;a40824f0-4899-49df-b22f-a5c0e29f29d7.png;https://midjourney-image.s3.amazonaws.com/a40824f0-4899-49df-b22f-a5c0e29f29d7.png;generated;false premises;artifacts;animals;artifacts
21;image_21;bd426d1b-8903-4d24-9038-ccf188ac8760 11.49.41 PM.png;https://midjourney-image.s3.amazonaws.com/bd426d1b-8903-4d24-9038-ccf188ac8760+11.49.41+PM.png;generated;false premises;people;plants;nature
22;image_22;c87205bc-2cbd-4d23-81a9-881d73ebb444.png;https://midjourney-image.s3.amazonaws.com/c87205bc-2cbd-4d23-81a9-881d73ebb444.png;generated;insufficient context;animals;artifacts;accessories
23;image_23;c56e9999-f6e2-4e0e-a002-6414aa154b8d.png;https://midjourney-image.s3.amazonaws.com/c56e9999-f6e2-4e0e-a002-6414aa154b8d.png;generated;insufficient context;animals;accessories ;artifacts
24;image_24;ab6bf1cc-de0a-4bae-aaf1-3ea91456a0a7.png;https://midjourney-image.s3.amazonaws.com/ab6bf1cc-de0a-4bae-aaf1-3ea91456a0a7.png;generated;false premises;people;people;artifacts
25;image_25;__Luminous_roseA_high-definition_CG_rendering_of_a_dark_rose_fo_91c19602-76f0-475d-84c1-30517c800dc2.png;https://midjourney-image.s3.amazonaws.com/__Luminous_roseA_high-definition_CG_rendering_of_a_dark_rose_fo_91c19602-76f0-475d-84c1-30517c800dc2.png;generated;false premises;nature;plants;nature
26;image_26;bcb03e01-6555-4482-b813-5d237619cdf2.png;https://midjourney-image.s3.amazonaws.com/bcb03e01-6555-4482-b813-5d237619cdf2.png;generated;insufficient context;animals;animals;artifacts
27;image_27;ae8d3032-c5e7-41bf-ad03-df8c4fad8afc.png;https://midjourney-image.s3.amazonaws.com/ae8d3032-c5e7-41bf-ad03-df8c4fad8afc.png;generated;false premises;animals;artifacts;animals
28;image_28;4b533acd-d4d9-497f-a76f-3d71785bc50f.png;https://midjourney-image.s3.amazonaws.com/4b533acd-d4d9-497f-a76f-3d71785bc50f.png;generated;false premises;vehicles;people;artifacts
29;image_29;4ee38ce0-ef38-4d8a-a669-50621f06f36c.png;https://midjourney-image.s3.amazonaws.com/4ee38ce0-ef38-4d8a-a669-50621f06f36c.png;generated;false premises;construction;vehicles;artifacts
